raw_designation,normalized_term,pad_category,source_section,source_page,status,notes
BICYCLETTES ET ACCESSOIRES,bicyclettes et accessoires,T02,2.3.1,14,new,
BOISSONS ACOOLISEES SAUF < = 13°,boissons acoolisees sauf 13,T02,2.3.3,24,new,
BOISSONS ACOOLISEES SAUF < = 13° NDA,boissons acoolisees sauf 13 nda,T02,2.3.1,9,new,
BOISSONS ACOOLISEES SAUF VIN < = 13° NDA,boissons acoolisees sauf vin 13 nda,T02,2.3.2,17,new,
"BONNERIE, MERCERIE",bonnerie mercerie,T02,2.3.1,15,new,
CABLES ELECTRONIQUES,cables electroniques,T02,2.3.1,14,new,
"CACAO, CHOCOLAT, CHICOREE",cacao chocolat chicoree,T02,2.3.1,9,new,
"CAFE, NESCAFE",cafe nescafe,T02,2.3.1,9,new,
CHAUSSURES,chaussures,T02,2.3.1,15,new,
COLAS,colas,T02,2.3.1,8,new,
"CONDIMENT, EPICE, AROMES NATURELS OU ARTIFICIELS NDA",condiment epice aromes naturels ou artificiels nda,T02,2.3.1,9,new,
"CONDIMENTS, EPICE, AROMES NATURELS OU ARTIFICIELS NDA",condiments epice aromes naturels ou artificiels nda,T02,2.3.2,17,new,
CONFITURE,confiture,T02,2.3.1,9,new,
CONSERVES DE FRUITS,conserves de fruits,T02,2.3.1,10,new,
CONSERVES DE LEGUMES,conserves de legumes,T02,2.3.1,10,new,
CONSERVES DE POISSON CRUSTACES ET MOLLUSQUES NDA,conserves de poisson crustaces et mollusques nda,T02,2.3.1,9,new,
"CONSERVES DE VIANDE, ET CHARCUTERIE",conserves de viande et charcuterie,T02,2.3.1,9,new,
COUTELLERIE,coutellerie,T02,2.3.1,14,new,
"COUVERTURE, LINGERIE",couverture lingerie,T02,2.3.1,15,new,
"DROGUERIE, PRODUITS D’ENTRETIEN",droguerie produits dentretien,T02,2.3.2,18,new,
"DROGUERIES, PRODUITS D’ENTRETIEN",drogueries produits dentretien,T02,2.3.1,13,new,
EFFETS DE TOILETTE,effets de toilette,T02,2.3.2,18,new,
ELEMENTS DE CONSTRUCTION FINIS ET CONSTRUCTIONS EN METAL,elements de construction finis et constructions en metal,T02,2.3.1,14,new,
"EXTINCTEURS, BOUTEILLES DE GAZ (vides ou pleines)",extincteurs bouteilles de gaz vides ou pleines,T02,2.3.1,14,new,
LEGUMES FRAIS NDA,legumes frais nda,T02,2.3.1,8,new,
"LIVRES, JOURNAUX, IMPRIMES",livres journaux imprimes,T02,2.3.1,15,new,
MACHINES OUTILS,machines outils,T02,2.3.1,14,new,
MAROQUINERIE,maroquinerie,T02,2.3.1,15,new,
MATERIEL DE PHOTOCOPIE ET DE REPROGRAPHIE,materiel de photocopie et de reprographie,T02,2.3.2,19,new,
MATERIELS ELECTRIQUES ET APPAREIL ECLAIRAGE,materiels electriques et appareil eclairage,T02,2.3.1,14,new,
MATERIELS INDUSTRIEL NDA,materiels industriel nda,T02,2.3.3,24,new,
MATERIELS INDUSTRIELS NDA,materiels industriels nda,T02,2.3.1,14,new,
METAL,metal,T02,2.3.2,18,new,
MIROITERIE,miroiterie,T02,2.3.1,14,new,
MOTEURS ELCETRIQUES ET A EXPLOSION,moteurs elcetriques et a explosion,T02,2.3.1,14,new,
MOTOCYCLES SAUF SCOOOTER,motocycles sauf scoooter,T02,2.3.1,14,new,
"OBJET ART, COLLECTION",objet art collection,T02,2.3.2,20,new,
ORANGES,oranges,T02,2.3.1,8,new,
OUTILS A MAIN,outils a main,T02,2.3.1,14,new,
"PAPETERIE, ET MATERIELS, FOURNITURE DE BUREAU",papeterie et materiels fourniture de bureau,T02,2.3.1,15,new,
"PAPETERIRE, MATERIELS FOURNITURE DE BUREAU",papeterire materiels fourniture de bureau,T02,2.3.3,24,new,
"PAPETERIRE, MATERIELS FOURNITURES DE BUREAU",papeterire materiels fournitures de bureau,T02,2.3.2,20,new,
"PARFUMERIE, TEINTURE CAPILAIRE",parfumerie teinture capilaire,T02,2.3.2,20,new,
"PARFUMERIE, TEINTURE CAPILLAIRE",parfumerie teinture capillaire,T02,2.3.1,13,new,
PATE ET PREPARATION ALIMENTAIRES A BASE DE PATE,pate et preparation alimentaires a base de pate,T02,2.3.1,9,new,
"PEINTURE, COLORANTS INDUSTRIELS RESINE POUR PEINTURE",peinture colorants industriels resine pour peinture,T02,2.3.1,13,new,
PIECES DETACHEES DE MACHINES ET APPAREILS,pieces detachees de machines et appareils,T02,2.3.1,14,new,
PIECES DETACHEES DE VEHICULES ET DE MATERIEL DE TRANSPORT,pieces detachees de vehicules et de materiel de transport,T02,2.3.1,14,new,
PLATS CUISINES,plats cuisines,T02,2.3.1,9,new,
"PLOMBERIE, ROBINETTERIE",plomberie robinetterie,T02,2.3.1,14,new,
PNEUMATIQUES,pneumatiques,T02,2.3.1,15,new,
POMMES,pommes,T02,2.3.1,8,new,
PREPARATIONS ALIMENTAIRES NDA,preparations alimentaires nda,T02,2.3.1,9,new,
PRODUITS COSMETIQUES,produits cosmetiques,T02,2.3.1,13,new,
PRODUITS DE TOILETTE NDA,produits de toilette nda,T02,2.3.1,13,new,
PRODUITS METALLURGIQUES NON FERREUX,produits metallurgiques non ferreux,T02,2.3.1,11,new,
"QUINCAILLERIE, BOULONNERIE, VISSERIE",quincaillerie boulonnerie visserie,T02,2.3.1,15,new,
"QUINCALLERIE, BOULONNERIE, VISSERIE",quincallerie boulonnerie visserie,T02,2.3.2,21,new,
SACS ET COLIS POSTAUX,sacs et colis postaux,T02,2.3.1,15,new,
SCOOTERS,scooters,T02,2.3.1,14,new,
SEL NDA,sel nda,T02,2.3.1,11,new,
SIMILI- CUIRS,simili cuirs,T02,2.3.1,15,new,
SPORT,sport,T02,2.3.2,21,conflict,"Conflit: sport → T01, T02"
TEINTURE NDA,teinture nda,T02,2.3.1,13,new,
TEINTURES NDA,teintures nda,T02,2.3.2,22,new,
"TEXTILE, HABILLEMENT, LINGE DE MAISON NDA",textile habillement linge de maison nda,T02,2.3.1,15,new,
THE,the,T02,2.3.1,9,new,
"TISSUS, ETOFFES",tissus etoffes,T02,2.3.1,15,new,
USTENSILES DE MENAGE,ustensiles de menage,T02,2.3.1,14,new,
USTENSILS DE MENAGE,ustensils de menage,T02,2.3.2,22,new,
"VAISSELLES, VERRERIE DE TABLE",vaisselles verrerie de table,T02,2.3.1,14,new,
"VEHICULES ROULIER < 1,5 T",vehicules roulier 15 t,T02,2.3.1,14,new,
"VEHICULES ROULIER > 2,5 T",vehicules roulier 25 t,T02,2.3.1,14,new,
"VERNIS, DILUANT, SOLVANT, COLORANT",vernis diluant solvant colorant,T02,2.3.1,13,new,
VERRE A VITRE ET AUTRE VERRE PLAT,verre a vitre et autre verre plat,T02,2.3.1,14,new,
VETEMENTS NEUFS,vetements neufs,T02,2.3.1,15,new,
VIANDE FRAICHE OU CONGELEE,viande fraiche ou congelee,T02,2.3.1,9,new,
ACIDE GRAS,acide gras,T03,2.3.1,13,new,
CONSERVE DE THON ET PICHARDS,conserve de thon et pichards,T03,2.3.1,9,new,
CONSERVES DE THON ET PICHARDS,conserves de thon et pichards,T03,2.3.2,17,new,
CUIRS ET PEAUX BRUTES,cuirs et peaux brutes,T03,2.3.1,8,new,
CUIRS ET PEAUX BRUTS,cuirs et peaux bruts,T03,2.3.3,25,new,
FARINE LACTEE,farine lactee,T03,2.3.1,9,new,
FARINES LACTEE,farines lactee,T03,2.3.2,18,new,
GLUCERINE BRUTE,glucerine brute,T03,2.3.2,19,new,
