raw_designation,normalized_term,pad_category,source_section,source_page,status,notes
PAPIER ET PAPIER KRAFT EN BOBINES > 1T,papier et papier kraft en bobines 1t,T12,2.3.1,15,new,
PAPIER ET PAPIER KRAFT EN BOBINNES > 1T,papier et papier kraft en bobinnes 1t,T12,2.3.2,20,new,
PARAFFINE,paraffine,T12,2.3.2,20,new,
PARAFINE,parafine,T12,2.3.1,13,new,
PRODUIT CHIMIQUE DE BASE NDA,produit chimique de base nda,T12,2.3.1,13,new,
PRODUITS CHIMIQUES DE BASE NDA,produits chimiques de base nda,T12,2.3.3,29,new,
QUINOUELIBA,quinoueliba,T12,2.3.1,9,new,
QUINQUELIBA,quinqueliba,T12,2.3.2,21,new,
"RECIPIENT VIDE EN VERRE, EN BOIS OU EN FER NDA",recipient vide en verre en bois ou en fer nda,T12,2.3.1,15,new,
RESINE SYNTHETIQUE,resine synthetique,T12,2.3.1,13,new,
REVETEMENT DE SOL (CARRELAGE) NDA,revetement de sol carrelage nda,T12,2.3.2,21,new,
SACS EN JUT OU EN FIBRES VEGETALES,sacs en jut ou en fibres vegetales,T12,2.3.1,15,new,
SACS EN JUTE OU EN FIBRES VEGETALES,sacs en jute ou en fibres vegetales,T12,2.3.2,21,new,
SACS EN JUTE OU EN FIBRES VEGETALS,sacs en jute ou en fibres vegetals,T12,2.3.3,29,new,
SACS EN PROPYLENE,sacs en propylene,T12,2.3.1,15,new,
SAVONS ORDINAIRES,savons ordinaires,T12,2.3.1,13,new,
SOLVESSO,solvesso,T12,2.3.1,13,new,
TALC,talc,T12,2.3.1,11,new,
"TOLES ET PRODUITS LAMINES, FIL DE FER, RAILS, PROFILES ET FER A BETON",toles et produits lamines fil de fer rails profiles et fer a beton,T12,2.3.3,29,new,
TOLUENE,toluene,T12,2.3.1,13,new,
TRANSACTIONS SPECIALES NDA,transactions speciales nda,T12,2.3.1,15,new,
"TUBES, TUYAUX ET POTEAUX METALLIQUES ET PRODUITS FERREUX NDA",tubes tuyaux et poteaux metalliques et produits ferreux nda,T12,2.3.3,29,new,
TUYEAUX EN PVC,tuyeaux en pvc,T12,2.3.2,22,new,
ŒUVRES ET OBJETS D’ART,uvres et objets dart,T12,2.3.2,20,new,
"VERRE, PRODUITS CERAMIQUES NDA",verre produits ceramiques nda,T12,2.3.1,14,new,
WHITE SPIRIT,white spirit,T12,2.3.1,10,new,
CONTENEURS DE GROUPAGE IMPORT DE DIVERSES MARCHANDISES NE,conteneurs de groupage import de diverses marchandises ne,T13,2.3.3,29,new,
MARCHANDISES NE CONTENANT AUCUN P¨RODUIT DE CAT. T01,marchandises ne contenant aucun produit de cat t01,T13,2.3.1,15,new,
"FIL MACHINE, BOBINE DE TOLES, FEUILLARD, FER BLANC",fil machine bobine de toles feuillard fer blanc,T14,2.3.1,11,new,
